,period,aqi,natural_gas_value,coal_value
35,2024-02-02,1.756322768276995,157110.65311245108,1048.8557432945659
36,2024-02-03,1.7557618259565297,156855.6580075851,1059.34193504498
37,2024-02-04,1.755228053372943,156611.61842612634,1069.4810279357534
38,2024-02-05,1.7547193433224966,156378.17610786745,1079.2817019933532
39,2024-02-06,1.754233685180644,156154.720791535,1088.7428864476437
40,2024-02-07,1.7537686015955385,155940.6346487682,1097.8778498865775
41,2024-02-08,1.753321772410885,155735.4795685708,1106.7053240552311
42,2024-02-09,1.752892425216392,155538.90969909178,1115.2338630798795
43,2024-02-10,1.752480895282309,155350.57043092113,1123.4668961724221
44,2024-02-11,1.7520871248642442,155170.11630539983,1131.4113397621143
45,2024-02-12,1.7517103732178274,154997.22283850276,1139.0752821146257
46,2024-02-13,1.7513497296261153,154831.55677364868,1146.4649339884209
47,2024-02-14,1.7510043018453365,154672.77798422377,1153.587258364711
48,2024-02-15,1.75067320357193,154520.5727493176,1160.451507568692
49,2024-02-17,1.7503556941245768,154374.66190129126,1167.0670048459824
50,2024-02-18,1.7500512642277306,154234.7831642572,1173.4417553568344
51,2024-02-19,1.7497594887779384,154100.68234525906,1179.5833126426594
52,2024-02-25,1.749479883962749,153972.115831257,1185.4992923512896
53,2024-02-26,1.7492119207382348,153848.84951861855,1191.1969262847078
54,2024-02-27,1.7489550785123191,153730.65587116653,1196.683041728443
55,2024-02-28,1.748708854548713,153617.3161348152,1201.9645125527188
56,2024-02-29,1.748472768778466,153508.62370272935,1207.048315931612
57,2024-03-01,1.7482463826121226,153404.38332338107,1211.9412616419006
58,2024-03-02,1.7480292974561256,153304.40860396117,1216.6499252424037
59,2024-03-03,1.747821132937138,153208.5211278914,1221.1807402260388
60,2024-03-04,1.747621515817255,153116.5502889474,1225.539980540221
61,2024-03-05,1.7474300843715185,153028.3325999703,1229.733693741553
62,2024-03-06,1.7472464921787645,152943.71121012242,1233.7677229944304
63,2024-03-07,1.7470704074233685,152862.53604355085,1237.6477570903448
64,2024-03-10,1.7469015134976695,152784.66381163517,1241.3793272486391
65,2024-03-11,1.7467395101131753,152709.9575706975,1244.9677897983804
66,2024-03-12,1.7465841114907503,152638.286263801,1248.4183365056674
67,2024-03-13,1.746435043550864,152569.52446058704,1251.7360071164296
68,2024-03-14,1.746292043056849,152503.55210841316,1254.9256844554097
69,2024-03-15,1.7461548579237336,152440.25423777488,1257.9920897438471
70,2024-03-16,1.7460232469996209,152379.52073319102,1260.9397882837284
71,2024-03-17,1.745896979518154,152321.24616407562,1263.773194954566
72,2024-03-18,1.7457758347820749,152265.32958750392,1266.4965751221384
73,2024-03-19,1.7456596017688906,152211.67432392572,1269.114047340283
74,2024-03-20,1.7455480784579334,152160.18775792257,1271.6295892780793
75,2024-03-21,1.745441071237646,152110.78116540096,1274.0470425496699
76,2024-03-22,1.745338394584836,152063.36954270318,1276.3701156215302
77,2024-03-23,1.7452398708101777,152017.87143970543,1278.6023871070713
78,2024-03-24,1.7451453297322854,151974.20880734373,1280.7473096911713
79,2024-03-25,1.7450546083475496,151932.30685346833,1282.8082135249515
80,2024-03-26,1.7449675505290525,151892.09389953798,1284.7883092874267
81,2024-03-27,1.7448840067112834,151853.5012421868,1286.690691693056
82,2024-03-29,1.7448038335665559,151816.4630243034,1288.5183432785843
83,2024-03-30,1.7447268937189135,151780.91611348034,1290.2741379804083
84,2024-03-31,1.7446530554974702,151746.79998526815,1291.960844548713
85,2024-04-01,1.7445821927000151,151714.056611848,1293.5811299849922
86,2024-04-02,1.7445141843591214,151682.63035638139,1295.1375629100664
87,2024-04-03,1.7444489145190105,151652.46787171852,1296.6326167594552
88,2024-04-04,1.7443862720221597,151623.51800290358,1298.0686728874864
89,2024-04-05,1.7443261503010614,151595.73169405278,1299.448023653511
90,2024-04-06,1.7442684471783583,151569.0618997521,1300.7728754520183
91,2024-04-07,1.7442130646794478,151543.46350046876,1302.0453516532289
92,2024-04-08,1.7441599088555704,151518.8932216645,1303.2674954746453
93,2024-04-09,1.744108889614136,151495.30955655986,1304.4412727918436
94,2024-04-10,1.744059920556087,151472.67269234266,1305.5685748680216
95,2024-04-11,1.7440129188207305,151450.94443951955,1306.6512209950479
96,2024-04-12,1.7439678049372227,151430.088164272,1307.6909610571336
97,2024-04-13,1.7439245026821135,151410.06872376293,1308.6894780214934
